"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2017-02-10","gorod Sankt-Peterburg","Центральный","Марсово поле., 3","Gostinyi Dvor",930,"1",60000,"11 mes.","","Staryi fond",47,17,30,2,"4","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","",59.942894,30.329127,1838
"2016-12-08","gorod Sankt-Peterburg","Калининский","Софьи Ковалевской ул., 10","Akademicheskaya",810,"1",18000,"11 mes.","","Blochnyi",35,17,7,2,"5","Net","Minimum","Otdel'naya","Proizveden","",60.01329,30.4107867,
"2016-09-20","gorod Sankt-Peterburg","Центральный","Марата ул., 20","Vosstaniya pl.",520,"1",40000,"11 mes.","","Staryi fond s KR",50,45,6,4,"4","Net","","","","Balkon",59.928135,30.354163,
"2017-02-22","gorod Sankt-Peterburg","Московский","Благодатная ул., 61","Elektrosila",0,"1",20000,"1 mes.","","Kirpichnyi",37,18,,5,"5","Net","Garnitur Sovr.","","Evrostandart","Lodjiya",59.875772,30.3351382,
"2016-11-16","gorod Sankt-Peterburg","Калининский","Гжатская ул., 22к3","Akademicheskaya",470,"1",28000,"11 mes.","Da","Kirpichnyi",40,19,,8,"23","Est'","Sbornaya Sovr.","Otdel'naya","Proizveden","Lodjiya",60.012345,30.387689,
"2016-05-24","gorod Sankt-Peterburg","Кировский","Стачек пр., 28","Kirovskii zavod",1210,"3",35000,"","","",,68,39,," kv.m.","","Net","Est'","","est'",59.889521,30.271482,
"2016-09-28","gorod Sankt-Peterburg","Московский","Пулковская ул., 10к2","Zvezdnaya",380,"3",48000,"12 mes.","","Kirpichnyi",82,48,12,7,"15","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.836409,30.352133,
"2017-05-16","gorod Sankt-Peterburg","Фрунзенский","Славы пр., 40к4","Mejdunarodnaya",1240,"2",18000,"11 mes.","","Blochnyi",50,30,7,3,"5","Net","Net","Otdel'naya","Proizveden","Balkon",59.862744,30.395728,
"2017-07-04","gorod Sankt-Peterburg","Петроградский","Глухая Зеленина ул., 6","Chkalovskaya",10,"1",35000,"11 mes.","","Kirpichnyi",43,16,10,2,"9","Net","Sbor.+kuh.garn.","","Evrostandart","Zasteklennyi balkon",59.964602,30.2838968,
"2016-08-31","gorod Sankt-Peterburg","Выборгский","Энгельса пр., 143к3","Ozerki",2100,"1",18000,"12 mes.","Da","Panel'nyi",33,18,8,10,"12","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",60.053714,30.339629,1976
"2017-03-29","gorod Sankt-Peterburg","Адмиралтейский","Грибоедова кан. наб., 51","Admiralteiskaya",660,"3",120000,"11 mes.","","Staryi fond",120,73,10,3,"5","Net","Sbornaya Sovr.","Otdel'naya","Evrostandart","",59.930158,30.3172409,
"2017-06-24","gorod Sankt-Peterburg","Калининский","Замшина ул., 15","Lenina pl.",3030,"2",20000,"11 mes.","","Kirpichnyi",43,28,6,3,"5","Net","Minimum","Otdel'naya","","Balkon",59.973575,30.4005735,
